更新时间,#genre#
20251124-08-13-56,url


RespoTime,whitelist,#genre#
468.51ms,CCTV4,http://115.171.216.120:4000/rtp/225.1.8.4:8092
409.05ms,CCTV4,http://114.254.33.252:18888/rtp/239.3.1.214:4220
459.61ms,CCTV4,http://111.113.88.198:2000/rtp/239.121.4.123:8000
443.22ms,CCTV4,http://106.59.3.203:55555/rtp/239.200.201.181:4220
1357.72ms,CCTV4,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=20251124140031d71e88ab2c5947428059354abeddf6d9&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20251124140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=106.13.250.88&SecurityKey=20251124140031&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=37a3ed94f86c451090e34008c3f29272&ddCalcu=2377e2a29312e0fd39c48f08064c34e50190
1490.34ms,CCTV3,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=202511241400319fe8444293654187a5519e09aee37285&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20251124140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=106.13.250.88&SecurityKey=20251124140031&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=ad27334215d76bf52bc75b72a5b55ef9&ddCalcu=9afdee22574530b354a22175bd5776cbbf25
504.31ms,CCTV4,http://121.29.141.197:4022/rtp/239.253.93.192:6370
454.00ms,CCTV4,http://111.113.88.198:2000/rtp/239.121.4.124:8002
2361.37ms,CCTV1,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=2025112414003102520481773149759cb0f482e6eab09c&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20251124140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=106.13.250.88&SecurityKey=20251124140031&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=71fd22fad181031f0fa90dabed4fe210&ddCalcu=0711e2f2ed8f2042dfeabda1d80190a3f10f
481.07ms,CCTV4,http://27.184.29.216:12312/rtp/239.254.201.205:4220
1207.40ms,CCTV4,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?msisdn=2025112414003207aa3b2ef1e84fd5891236c246a8abeb&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20251124140032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=106.13.250.88&SecurityKey=20251124140032&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=119522876bac514ba893d679ba53dd68&ddCalcu=8161ed92d5832052a8b7967b6adc359184ab
1190.57ms,CCTV4,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4meihd/51/index.m3u8?msisdn=202511241400325ebc25dad49c4c0ab11b91aaa217774d&mdspid=&spid=699004&netType=0&sid=2200179344&pid=2028597139&timestamp=20251124140032&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=608807416&ParentNodeID=-99&assertID=2200179344&client_ip=106.13.250.88&SecurityKey=20251124140032&promotionId=&mvid=2200179344&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=d411a3694d15727a92c15820c4da2902&ddCalcu=2d04e912218aa0d346c9042d815517c2279a
1471.13ms,CCTV3,http://111.113.88.198:2000/rtp/239.121.4.151:8890
1926.70ms,CCTV2,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=202511241400313aaa8e6b298a43e3bd92844ad1c47c99&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20251124140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=106.13.250.88&SecurityKey=20251124140031&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=7fe2d41e53a6822985acf47d973d24c2&ddCalcu=27cfe4e2221dd034719ed5734af6c8a25289
452.42ms,CCTV4,http://27.184.29.216:12312/rtp/239.254.201.206:4220
526.86ms,CCTV4,http://121.29.141.197:4022/rtp/239.253.93.193:6371
423.16ms,CCTV5,http://121.231.65.86:8095/rtp/239.49.1.5:6000
1672.16ms,CCTV3,http://114.100.195.157:4022/rtp/238.1.78.170:7232
446.69ms,CCTV5,http://114.254.33.252:18888/rtp/239.3.1.173:8001
432.73ms,CCTV5,http://61.159.134.162:4022/rtp/238.255.2.134:5999
445.95ms,CCTV5,http://116.235.57.69:4022/rtp/239.45.1.69:5140
1442.74ms,CCTV4,http://116.235.57.69:4022/rtp/239.45.0.2:5140
1445.90ms,CCTV4,http://114.100.195.157:4022/rtp/238.1.78.236:7760
449.11ms,CCTV5,http://1.58.246.115:4000/rtp/229.58.190.60:5000
452.11ms,CCTV5,http://111.113.88.198:2000/rtp/239.121.4.152:8896
464.20ms,CCTV5,http://121.29.141.197:4022/rtp/239.253.92.181:6046
461.50ms,CCTV5,http://36.46.98.117:8025/rtp/239.112.205.222:5140
466.69ms,CCTV5,http://36.46.98.173:8025/rtp/239.112.205.222:5140
488.80ms,CCTV5,http://223.167.230.235:4022/rtp/239.45.1.69:5140
497.46ms,CCTV5,http://1.58.246.115:4001/rtp/229.58.190.60:5000
743.04ms,CCTV5,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=20251124140031cb1a5fd1c5f541019fabdcbb0f14606d&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20251124140031&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=106.13.250.88&SecurityKey=20251124140031&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-8.11.1-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgspad&tid=android&conFee=0&puData=b64dd9b3fbfe5a4d7cfe8dc9a1c6a09e&ddCalcu=eb96e042ad16d0c91ba39fcbdf8ee5fac47d
455.23ms,CCTV5,http://115.171.216.120:4000/rtp/225.1.8.89:8000
550.32ms,CCTV5,http://111.162.204.74:8686/rtp/225.1.1.160:5002
